,qlabel,lemmas,instruction,category
6439,WHQ,"('what', 'be')",What is marginal cost rate design in the domain of electric utilities,open_qa
6440,NULL,(),"Identify which instrument is string or percussion: Thattai, Tanpura",classification
6441,NULL,(),Can you brainstorm some ideas for blog posts about Kubernetes?,general_qa
6442,NULL,(),The Nobel Prize in Literature  was awarded to the novelist,open_qa
6443,NULL,(),Which of the Jurassic Park movies were based on novels?,information_extraction
6444,QIS,"('be', 'Italian')",Is Italian closer to French or to German?,open_qa
6445,WHQ,"('who', 'be')",Who is Steven Spielberg?,closed_qa
6446,NULL,(),How many syllables are in the word cat?,open_qa
6447,WHQ,"('what', 'be')",What is the difference between longboard and shortboard surfing?,general_qa
6448,WHQ,"('what', 'be')",What are the ways you can use Zoom?,brainstorming
6449,WHQ,"('why', 'be')",Why is Pickleball getting so popular?,general_qa
6450,WHQ,"('what', 'be')",What are the three styles of Shakespeare?,open_qa
6451,WHQ,"('how', 'do')",How does the Stock Market work?,open_qa
6452,NULL,(),List all the names of people mentioned in this passage.  Use a numbered list.,information_extraction
6453,NULL,(),Please write a haiku,creative_writing
6454,NULL,(),"Given this paragraph about Pharaohs, when the title used to address the kings of egypt",closed_qa
6455,WHQ,"('what', 'be')",What are the qualities of good compost for a vegetable garden?,open_qa
6456,WHQ,"('how', 'do')",How does an LCD panel work?,open_qa
6457,WHQ,"('what', 'be')",What are monsoons in India?,general_qa
6458,NULL,(),"Can you write me a page long essay on whether capitalism needs to be reexamined and amended?  Is such a reexamination one of incremental or transformational change?  If so, why?  If not, why not?",creative_writing
6459,NULL,(),"Classify each of the following as either hotdog or not hot dog: bratwurst, wienersnitschel, hoagie, legs, Hebrew National, finger, banana, sausage",classification
6460,WHQ,"('what', 'be')",What is The Masters?,summarization
6461,WHQ,"('when', 'be')",When was Santa Monica founded?,closed_qa
6462,NULL,(),Give me a list of summer activities for an 8-year-old.,brainstorming
6463,WHQ,"('what', 'be')",What are three cities on the west coast of Florida?,open_qa
6464,WHQ,"('what', 'invent')",What ancient organization invented the concept of Democracy?,open_qa
6465,WHQ,"('what', 'be')",What are the main components of a drum set?,general_qa
6466,WHQ,"('what', 'be')",What are some creative inspirations for a beginner photographer?,brainstorming
6467,WHQ,"('why', 'be')",Why am I allergic to cats?,open_qa
6468,WHQ,"('what', 'should')",What tool should I use to cut wood,general_qa
6469,NULL,(),"tell me the category for these movies ""Star Trek, Star Wars, John Wick, Indiana Jones""",classification
6470,WHQ,"('what', 'be')",What is Singlish?,open_qa
6471,WHQ,"('what', 'be')",What is the scientific formula for table salt?,open_qa
6472,NULL,(),"Given this paragraph about Arlington Virginia, how many elementary schools are there in the county's public education system?",closed_qa
6473,NULL,(),"When I ski my legs form an A-frame shape and it doesn't look very nice, how can I fix this?",general_qa
6474,NULL,(),Describe a trip through the United States for a 14 day vacation in a rental car,creative_writing
6475,NULL,(),Pleaese give me a short list of the main characteristics of cricketer Sachin Tendulkar's playing style.,summarization
6476,NULL,(),tell me a way to slice an apple.,brainstorming
6477,NULL,(),"Categorize the following list into color names and non-color words: red, yellow, leafy, bankers, fuchsia, magenta, cerulean, purple, lavender, blue, orange, felt",classification
6478,NULL,(),5 ways to increase stamina,brainstorming
6479,NULL,(),"During WWII, how many Japanese Americans were forcibly relocated and incarcerated?",closed_qa
6480,WHQ,"('what', 'be')",What songs are on the AC/DC album Back in Black?,general_qa
6481,NULL,(),Tell me about a random street in Berlin,summarization
6482,WHQ,"('what', 'do')",What does a geologist do?,open_qa
6483,WHQ,"('what', 'be')",What is the best way to get to Philadelphia from Downingtown if you do not have a car?,brainstorming
6484,NULL,(),"Write an explanation for why someone would want to visit New York City. Use details about the nightlife, restaurants, arts and entertainment.",creative_writing
6485,WHQ,"('what', 'be')",What is SSL?,open_qa
6486,WHQ,"('what', 'do')",What popular books did Stephen King author?,open_qa
6487,NULL,(),Name some fruits that have green skin.,brainstorming
6488,WHQ,"('what', 'be')",What is an illegal building technique?,open_qa
6489,WHQ,"('what', 'be')",What's the differences of the Wing Chun kongfu and the traditional Shaolin Kongfu?,creative_writing
6490,NULL,(),"Should a man get married when he is young, or wait until he is older?",general_qa
6491,WHQ,"('how', 'do')",How do you make wine?,summarization
6492,NULL,(),"Classify each of the following as a French or Italian company: Campari, Dior, Hermes, Ferrari, Prada",classification
6493,WHQ,"('what', 'be')",What is Rust?,open_qa
6494,WHQ,"('what', 'be')",What are the four standard sizes of beds in the United States?,open_qa
6495,WHQ,"('what', 'be')",What is the terminal outbound station of the D line in the Boston MBTA?,open_qa
6496,NULL,(),"Given this paragraph about pyramids , when was the first pyramid built?",closed_qa
6497,WHQ,"('what', 'be')","What are your views on the ""First Principles"" by ""Thomas E. Ricks""",creative_writing
6498,NULL,(),How many human beings are on the planet?,general_qa
6499,NULL,(),Imagine you are the last person on Earth. Write a diary entry describing your thoughts and feelings.,creative_writing
6500,NULL,(),List down some important points about Indore city in India from given text,summarization
6501,WHQ,"('why', 'have')",Why donuts have holes?,open_qa
6502,NULL,(),Give me a bulleted list of some things that could go wrong skateboarding down a steep hill,brainstorming
6503,NULL,(),"From the passage provided, extract where Java was developed",information_extraction
6504,NULL,(),List the names of five of Adam Sandler's movies,brainstorming
6505,WHQ,"('what', 'be')",What is the state flower of California?,open_qa
6506,NULL,(),Name five NBA teams in the Eastern Conference.,open_qa
6507,NULL,(),Is the Tiger population Increasing in India?,open_qa
6508,NULL,(),"If a straight line passes through the points (4,2) and (8,6) then where does it cross the x axis? Explain your answer.",creative_writing
6509,WHQ,"('what', 'be')",What is the difference between Azure Synapse Dedicated SQL Pools and Serverless SQL Pools?,open_qa
6510,NULL,(),"Identify which instrument is string or percussion: Pakhavaj, Mejoranera",classification
6511,NULL,(),"Based on this paragraph, what does Briony mean when she says at the conclusion: """"I like to think that it isn't weakness or evasion, but a final act of kindness, a stand against oblivion and despair, to let my lovers live and to unite them at the end.""",summarization
6512,WHQ,"('what', 'be')",What is a mulligan in Magic the Gathering?,general_qa
6513,NULL,(),In Japan what color car is reserved for the royal family only,open_qa
6514,WHQ,"('why', 'be')",Why are reaction channels popular on YouTube?,general_qa
6515,NULL,(),Give me a bulleted list of the Real Housewives series in chronological order.,brainstorming
6516,NULL,(),Explain the black and white smoke during the Pope election,open_qa
6517,NULL,(),"Given this paragraph about composer Paul Lansky, did he have an advanced degree?",closed_qa
6518,NULL,(),Give me a list of popular SUVs available in North America,brainstorming
6519,NULL,(),"According to this paragraph, what are the ""Old Dorms"" at the University of Virginia?",closed_qa
6520,NULL,(),"Identify which instrument is string or percussion: Taxi horn, Sihu",classification
6521,NULL,(),Name three famous movies about sports.,open_qa
6522,WHQ,"('what', 'do')",What tools do people use to communicate in 2023?,general_qa
6523,WHQ,"('which', 'be')","Which is bigger, a beagle or a basset?",open_qa
6524,NULL,(),Think of five quirky marketing slogans for a new Fashion Brand TV campaign. It must be a little arrogant and sharp.,brainstorming
6525,NULL,(),Name five capital cities in the USA.,open_qa
6526,WHQ,"('what', 'be')",What are some countries I could go backpacking in if I want to see the Alps?,brainstorming
6527,WHQ,"('when', 'be')",When was George Washington born?,information_extraction
6528,NULL,(),"Classify each method of communication as ""verbal"" or ""written"": e-mail, phone call, slack chat, zoom meeting, text, post mail",classification
6529,NULL,(),"Tell me whether you can or cannot legally drive a car or each of the following: road, highway, sidewalk, interstate, pedestrian only bridge",classification
6530,NULL,(),Can you write down some different boroughs of New York City?,brainstorming
6531,WHQ,"('who', 'have')",Who has the most #1 hits in music?,open_qa
6532,WHQ,"('who', 'be')",Who am I?,general_qa
6533,WHQ,"('how', 'do')",How do you make an electronic music song?,creative_writing
6534,WHQ,"('how', 'have')",How long have musical instruments been in existence?,summarization
6535,WHQ,"('why', 'be')",Why is a pomegranate known as a hand grenade?,general_qa
6536,WHQ,"('what', 'be')",What is Cricket in sports?,summarization
6537,WHQ,"('which', 'belong')","Which characters belong to DC or Marvel Universe? Sandman, Clayface",classification
6538,WHQ,"('why', 'be')",Why are Donald Trump’s followers stereotyped as idiots?,general_qa
6539,DOQ,"('do', 'you')",Do you know any other languages besides english?can you name colors in ARABIC?,classification
6540,WHQ,"('who', 'be')","Who is the primary female antagonist on ""The X-Files""?",open_qa
6541,NULL,(),"Classify the following as smooth or sharp: broken glass, thorn, leather, baby skin, cactus, mirror",classification
6542,NULL,(),"Identify which instrument is string or percussion: Fiddlesticks, Tricordia",classification
6543,NULL,(),"Tell me which of these albums were by AC/DC, Judas Priest, or Van Halen:  Back in Black, Screaming for Vengeance, Stained Class, British Steel, Painkiller, Women and Children First, 1984, Dirty Deeds Done Dirt Cheap, Diver Down, Rocka Rolla, Powerage",classification
6544,NULL,(),"Classify each of the following as either round or square shape: wheel, paper napkin, building block, ring, coin, ball, grid, bread, bubble, dice, hula hoop, window, stamp, earth, crossword, tambourine, bagel, keyboard key, cube, letter O.",classification
6545,NULL,(),How many items is in a baker's dozen?,general_qa
6546,NULL,(),"Given a reference text about a snowball effect, tell me how it applies to aerospace engineering.",closed_qa
6547,NULL,(),Will any country learn from their own mistakes and not repeat history?,general_qa
6548,NULL,(),"Categorize the companies based on their ownership status.
Meta, Microsoft, Amazon, Deloitte, KPMG, Ernst & Young",classification
6549,WHQ,"('what', 'be')",What are some signs and symptoms of Type 2 Diabetes?,open_qa
6550,WHQ,"('how', 'may')",How may I find a charging port outdoors for my laptop?,general_qa
6551,NULL,(),"Given a reference text about the Davie School, tell me when it was added to the register of historic places and when it was open and closed..",closed_qa
6552,NULL,(),List the founders of MicroStrategy and surround the first name of the founder who served as CEO in quotes.,information_extraction
6553,WHQ,"('why', 'eat')",why peoples eating popcorn in the cinema?,general_qa
6554,NULL,(),Put yourself in the place of a consumer who is considering the purchase of a new car. What sources of information would you use to evaluate your options during ZMOT (Zero moment of truth)?,creative_writing
6555,NULL,(),Extract the source of silicone carbide in nature.,information_extraction
6556,WHQ,"('what', 'do')",What does Pinot noir mean?,information_extraction
6557,NULL,(),Name the five plays of The Hill Town Plays by Lucy Thurber.,information_extraction
6558,NULL,(),Give me some ideas of activities to do in Romania,brainstorming
6559,WHQ,"('what', 'do')",What does GPT stand for in ChatGPT?,open_qa
6560,WHQ,"('where', 'can')","Where can I go to request an absentee ballot for an upcoming election in Wisconsin, or to track the status of my ballot request?",general_qa
6561,WHQ,"('what', 'be')",What is Apache Spark?,open_qa
6562,NULL,(),"In a concise bulleted list, tell me what audiologists do when they are seeing a patient",closed_qa
6563,NULL,(),From the passage note down the biggest institutional shareholders of Credit Suisse. List the results in comma separated format.,information_extraction
6564,WHQ,"('what', 'be')",What is a capital gain in finance?,open_qa
6565,WHQ,"('what', 'be')",What is the largest coral reef system in the world?,information_extraction
6566,NULL,(),"Categorize each of the following with their associated holiday, either ""Christmas"", ""Easter"" or ""Halloween"". Bunny, egg, cobwebs, candy bucket, candy basket, lights, Santa",classification
6567,NULL,(),Give me a list of what to do with used brake rotors.,brainstorming
6568,NULL,(),"In the given passage, List me some points about the TV show : Locke & Key",summarization
6569,NULL,(),"Extract all the country names in the paragraph, and list them separated by commas.",information_extraction
6570,NULL,(),"Given this paragraph, what were the regional release dates for Viva Piñata: Party Animals?",closed_qa
6571,WHQ,"('who', 'be')",Who are the Weasleys?,open_qa
6572,NULL,(),Summarize what and when the quiet periods occur during an IPO.,summarization
6573,NULL,(),Provide a comma separated list of all the universities listed in this passage,information_extraction
6574,WHQ,"('why', 'do')",Why do Dutch people always ride a bicycle?,general_qa
6575,NULL,(),"Tell me whether these are types of pears or types of apples: Anjou, Bartlett, Bosc, Cosmic Crisp, Fuji, Granny Smith, Plymouth.",classification
6576,NULL,(),List all the competitors in the 1997 Italian Open for Mens Singles,summarization
6577,WHQ,"('why', 'do')",Why do people like to play Path of Exile?,open_qa
6578,WHQ,"('what', 'be')",What is the Culture Against Man,open_qa
6579,NULL,(),What kind of fungi are Ochrolechiaceae,open_qa
6580,WHQ,"('how', 'be')",How old is Boo Boo Bear?,information_extraction
6581,NULL,(),"Write a beautiful bedtime 5 paragraph story for a 4 years old. The outline of the story is: a small boy, named Jonny goes on an adventure with his family.",creative_writing
6582,WHQ,"('what', 'be')",What are some good places to visit in and around Austin?,brainstorming
6583,WHQ,"('who', 'be')",Who are some of the best guitarists of all time?,brainstorming
6584,WHQ,"('which', 'be')",Which months were added to the calendar and why?,open_qa
6585,WHQ,"('what', 'be')",What is the capital of CA?,open_qa
6586,NULL,(),"Given this paragraph about Vice-Admiral Alexander Colville, tell me when he died and what battles he fought in.",closed_qa
6587,NULL,(),"From the passage below, list the prizes won by Laia Forcadell Arenas.",information_extraction
6588,WHQ,"('what', 'be')",What is the proper greeting for Passover?,open_qa
6589,WHQ,"('who', 'write')",Who wrote the biography of Steve Jobs?,open_qa
6590,NULL,(),Categorize each of the following as 'Programming Language' or 'Not a Programming Language',classification
6591,WHQ,"('who', 'be')",Who is the founder of Vanguard?,open_qa
6592,NULL,(),what kinds of shoes are there?,open_qa
6593,NULL,(),"How many years was Hutchinson's streak, and what caused it to end?",closed_qa
6594,WHQ,"('how', 'do')",How do you play the game of LoL?,summarization
6595,WHQ,"('what', 'do')",What awards did Bill Murray receive for Lost in Translation?,closed_qa
6596,NULL,(),Name a Jane Austen book.,open_qa
6597,NULL,(),"Given this text about Heracles' twelve labors, construct a list of characters that either help him in his quest, how, and why.",information_extraction
6598,NULL,(),Give me 3 ideas for an instant serotonin boost.,brainstorming
6599,NULL,(),"Given this paragraph about video game consoles, when was the Nintendo DS released?",closed_qa
6600,NULL,(),"Looking at cities in Australia that are on the east coast and the west coast of the country, which coast are the cities of Fremantle, Sydney, Brisbane, Perth, Cairns, Townsville, Newcastle located on?",classification
6601,WHQ,"('what', 'be')",What is the universe made of?,general_qa
6602,WHQ,"('what', 'be')",What is on the DVD Our Favorite Things,closed_qa
6603,WHQ,"('who', 'be')","Who are the known members of the student group named Dumbledor's Army, from the Harry Potter book series.",brainstorming
6604,NULL,(),In what key do most car horns honk?,open_qa
6605,WHQ,"('who', 'be')",Who is the largest coatings company in the world by revenue?,closed_qa
6606,QIS,"('be', 'oil')",Are seed oils bad for you?,general_qa
6607,NULL,(),"In autosports, what is the apex and racing line?",general_qa
6608,WHQ,"('what', 'be')",What is National Financial Switch or NFS?,open_qa
6609,NULL,(),How many colours does a rainbow have?,general_qa
6610,DOQ,"('do', 'Tropics')",Did Tropics to the Snow win any awards?,information_extraction
6611,WHQ,"('why', 'can')",Why can helicopters not fly as fast as airplanes?,general_qa
6612,NULL,(),"Classify each of the following as either a state in the United States or a country: Georgia, California, Alaska, Canada, Peru, Texas, Florida, Pennsylvania, New Mexico, Mexico, Ireland, Russia, Oregon",classification
6613,NULL,(),"Classify the following cricketers as batsman, bowlers, or all rounders.
David Warner, Trent Boult, Rohit Sharma, Virat Kohli, Rashid Khan, Quinton de Kock",classification
6614,WHQ,"('what', 'be')",What are the benefits of using the ReLU activation function over the classic sigmoid function in neural networks?,open_qa
6615,WHQ,"('what', 'be')",What is a reporting dashboard?,open_qa
6616,NULL,(),Write a story about getting stuck on a train,creative_writing
6617,NULL,(),A triangle has angles of 25 degrees and 45 degrees. What is the last angle in the triangle?,creative_writing
6618,WHQ,"('what', 'be')",What are some interesting facts around Wilmer McLean's residencies when it comes to the American Civil War?,summarization
6619,WHQ,"('where', 'do')",Where did Allen Eager grow up?,closed_qa
6620,WHQ,"('what', 'cause')",What causes that feeling of weightlessness when you're on a rollercoaster?,general_qa
6621,QIS,"('be', 'it')",Is it possible to prevent Type 2 Diabetes?,open_qa
6622,NULL,(),"How many vaccines should I get, if a dog bites me?",open_qa
6623,NULL,(),"Given this reference text about the Catholic University of America, tell me when it was established, where it is located, and who founded it.",closed_qa
6624,NULL,(),"Given this paragraph on French Revolution, what were the main causes",closed_qa
6625,WHQ,"('what', 'be')","What is the book ""The Sun Also Rises"" about?",summarization
6626,NULL,(),Give me a bullet list of lots of possible weather forecasts,brainstorming
6627,WHQ,"('who', 'be')",Who are the CEO of National Association of Broadcasters,summarization
6628,WHQ,"('what', 'have')",What singer has had a Billboard No. 1 hit in each of the last four decades?,open_qa
6629,NULL,(),Write a diary entry about a real life incident on your recent trip with your family,creative_writing
6630,NULL,(),"Which of the following are beach wear vs what one would wear on a cold winter trek? If there are common items, create a third category called 'Common':

Socks
Hats
Neck gaiter
Sunglasses
Swimsuits
Undershirts
Cover-ups
Down jacket
Trek poles
Water Shoes
Beanie
Sandals",classification
6631,WHQ,"('what', 'be')",What is the United States Bill of Rights?,closed_qa
6632,NULL,(),"Classify the below as food or drinks.
Fish, Meat, Salad, Apple, Lemonade, Coffee, Tea",classification
6633,NULL,(),Extract all unique names from the provided paragraphs separated by comma.,information_extraction
6634,WHQ,"('why', 'do')",Why does the Earth revolve around the Sun?,general_qa
6635,WHQ,"('what', 'be')","What are some of the highest quality, full flavored cigars I can buy in the united states?",general_qa
6636,NULL,(),how to become fit,general_qa
6637,WHQ,"('how', 'do')",How do you check the weather on an iPhone?,general_qa
6638,NULL,(),Can you generate a 2 lines abstract of this text?,summarization
6639,WHQ,"('what', 'can')",What birds can I find in San Francisco?,general_qa
6640,WHQ,"('what', 'be')",What is one of your favorite hobbies?,general_qa
6641,WHQ,"('what', 'be')",What are some of the greatest rock bands of all time?,open_qa
6642,NULL,(),Greta Thunberg is a Swedish Environmental activist has donated the  Prize  money of 1 million Euros for what cause?,open_qa
6643,WHQ,"('what', 'do')",What does Korla stand for?,closed_qa
6644,NULL,(),Tell me how many final fours purdue has been to and whether or not they have won any championships,information_extraction
6645,WHQ,"('what', 'be')",What is Github Copilot?,closed_qa
6646,NULL,(),"Tell me which of these are science fiction movies and which are fantasy: Lord of the Rings, Star Trek, Princess Mononoke, the Wheel of Time, District 9",classification
6647,DOQ,"('do', 'difference')",Does a difference in prediction outcomes between two ethnic/gender groups from a credit scoring algorithm constitute a bias in the data collection process or the algorithm itself?,creative_writing
6648,WHQ,"('what', 'do')",What did Special Agent Fox Mulder study when he was in university?,open_qa
6649,WHQ,"('why', 'do')",Why do gas prices go high in winter,general_qa
6650,WHQ,"('why', 'do')",Why democracy doesn't works and in old times we had autocracy?,general_qa
6651,WHQ,"('which', 'have')",Which NBA team has won the most championships?,information_extraction
6652,NULL,(),Can you write me a haiku to boost my spirits today?,creative_writing
6653,NULL,(),"Tell me which of these is a Country, a City, a River, or a Mountain: New York, Nile, Amazon, Kilimanjaro, USA, Spain, Italy, Rome, Prague, Zurich, France, San Francisco, K2, Buenos Aires, Brazil, Mount Everest, London, Mekong",classification
6654,WHQ,"('what', 'be')",What are the first and third eras of aircraft history mentioned in the text below and when did they end? Use a bullet list and the format {Name} ({Year}).,information_extraction
6655,NULL,(),"Given this paragraph, what is the size in acres of Walt Disney World?",closed_qa
6656,NULL,(),Does using microwave oven cause cancer?,general_qa
6657,NULL,(),"Classify the following colors as primary or not primary: Red, blue, violet, white, black, green, yellow, orange",classification
6658,WHQ,"('who', 'be')",Who was Yoshikazu Shirakawa?,information_extraction
6659,NULL,(),"Given this paragraph about hickory wood, tell me what sporting equipment it might be used for.",closed_qa
6660,NULL,(),"Based on this paragraph about Massimo Bray, what language do you think he writes in?",closed_qa
6661,WHQ,"('what', 'be')",What state is known as the Lone Star State?,open_qa
6662,NULL,(),"Identify which animal is domesticated or wild: Chicken, Mandarin duck, Egyptian goose",classification
6663,WHQ,"('what', 'be')",What is the best hand in Texas Hold'em poker?,open_qa
6664,NULL,(),"Tell me if the following foods would be safe or unsafe for someone with a nut allergy to eat? Peanut butter, eggs, apples, pb&j, carrots, pad thai",classification
6665,NULL,(),Name the states of Northeast India.,information_extraction
6666,WHQ,"('who', 'be')",Who is the founder of SpaceX?,general_qa
6667,WHQ,"('who', 'be')",Who is the all time leading goal scorer for Manchester United?,open_qa
6668,WHQ,"('where', 'be')",where is India,summarization
6669,WHQ,"('what', 'be')",What is Categorization and Sentiment Analysis,general_qa
6670,WHQ,"('when', 'categorize')","When playing golf, categorize each of the following items as ""useful"" or ""useless"": Irons, putter, dumbbell, tees, skis, range finder, jeans, kayak.",classification
6671,NULL,(),The Global Climate Emergency report is based on scientific analysis of more than how many years?,open_qa
6672,WHQ,"('what', 'be')",What is the difference between pork roll and taylor ham,open_qa
6673,WHQ,"('what', 'be')",What is Unanimous?,summarization
6674,WHQ,"('which', 'taste')","Which tastes better, red or green grapes?",open_qa
6675,NULL,(),"Samuel Tilden, Grover Cleveland, Al Gore, and Hillary Clinton share what distinction among U.S. presidential candidates?",open_qa
6676,WHQ,"('what', 'be')",What is a snook?,general_qa
6677,NULL,(),Add additional details about what chess is,information_extraction
6678,WHQ,"('what', 'do')",What does a funambulist walk on?,open_qa
6679,WHQ,"('what', 'be')",What are the three highest peaks in the UK?,open_qa
6680,NULL,(),"Make a list, using dot points, of the five foods I might find in the dairy section of a supermarket",brainstorming
6681,NULL,(),"Given this paragraph about the prehistory of Sri Lanka, what are the evidence for prehistoric human colonization in Sri Lanka?",closed_qa
6682,NULL,(),"Which of these words are homonyms (words that have two meanings): cleave, cotton, red, hungry",classification
6683,WHQ,"('what', 'be')",What was Jiang's previous position before becoming the president of China?,closed_qa
6684,NULL,(),"From the passage provided, extract the diameter of eukaryotic ribosomes.",information_extraction
6685,WHQ,"('what', 'be')",What are the different methods to open a pomegranate?,brainstorming
6686,WHQ,"('what', 'be')",What are some common proteins in tacos?,brainstorming
6687,WHQ,"('how', 'can')",How can I spend more time with my dog?,brainstorming
6688,WHQ,"('why', 'do')",Why do you get dental erosion?,general_qa
6689,WHQ,"('what', 'be')",What state was Margaret Hall from?,information_extraction
6690,WHQ,"('what', 'be')",What is hot pot?,summarization
6691,WHQ,"('what', 'be')",What are the best day trips near San Francisco?,creative_writing
6692,WHQ,"('which', 'be')",Which is a species of fish? Sleeper or Snoozer,classification
6693,WHQ,"('which', 'be')",Which fictional LAPD detective is Titus Welliver known for playing?,closed_qa
6694,NULL,(),"Classify the below companies on whether they belong to India or Taiwan -
HDFC Bank, Infosys, Taiwan Semiconductor Manufacturing Company, Pegatron",classification
6695,NULL,(),Give me 5 ways to relax for an hour ?,brainstorming
6696,WHQ,"('what', 'be')","What is the first letter of every sentence, separated by commas?",information_extraction
6697,WHQ,"('what', 'be')",What's the best BBQ place in Austin,open_qa
6698,QIS,"('be', 'Aadhaar')",is Aadhaar a proof of residence or of citizenship?,summarization
6699,NULL,(),"Given this paragraph about ESPN's SportsCenter in 2009, in what west coast city did ESPN begin producing it's 1:00 a.m. Eastern Time edition of SportsCenter?",closed_qa
6700,NULL,(),What kind of game is Binding of Isaac and what platforms can I play it on?,summarization
6701,WHQ,"('how', 'do')",how do i heal my mind,general_qa
6702,WHQ,"('what', 'be')",What is Categorization and Sentiment Analysis,open_qa
6703,WHQ,"('what', 'be')",What is constitution?,open_qa
6704,NULL,(),Can you write a post advertising a social event for the end of the year?,creative_writing
6705,NULL,(),Name some fruits that have yellow or orange skin.,brainstorming
6706,NULL,(),"Which of these are movies that Will Ferrell starred in and which ones did Jim Carrey star in? Elf, Anchorman: The Legend of Ron Burgundy, Step Brothers, Megamind, Zoolander, The Mask, Liar Liar, Sonic the Hedgehog, Dumb and Dumber, The Cable Guy, Ace Ventura: Pet Detective",classification
6707,WHQ,"('what', 'be')",What rock icon was the founder of The Society for the Prevention of Cruelty to Long-haired Men?,open_qa
6708,WHQ,"('why', 'be')",Why is lacrosse considered the fastest game on two feet?,general_qa
6709,WHQ,"('who', 'be')",Who was Christopher Columbus?,open_qa
6710,WHQ,"('what', 'be')",What is terrain cartography?,open_qa
6711,NULL,(),Pultizer Prize 2022 is given which field,open_qa
6712,WHQ,"('what', 'be')",What are the biggest cities in Germany?,general_qa
6713,NULL,(),"Based on this passage, in what field did Raisa earn her PhD?",closed_qa
6714,WHQ,"('who', 'be')",Who is Maria Ludwiga Michalk?,summarization
6715,NULL,(),What methods of transportation to Dallas are unlikely to be available?,summarization
6716,WHQ,"('which', 'produce')",Which country produces the most pineapples?,open_qa
6717,WHQ,"('why', 'do')",Why did Major League Baseball introduce new rules for 2023?,general_qa
6718,WHQ,"('what', 'be')","What are the best hiking trails near Seattle, Washington?",general_qa
6719,NULL,(),"Identify which instrument is string or woodwind: Octobass, Bass clarinet",classification
6720,WHQ,"('what', 'be')",What is the difference between speed and velocity?,general_qa
6721,NULL,(),To which family does the Chasenella belong to,open_qa
6722,NULL,(),"Given this paragraph about the Pearl Mill Village Historic District, tell me where it is located.",closed_qa
6723,WHQ,"('what', 'be')",What is Pullman National Historical Park?,information_extraction
6724,NULL,(),"Classify each team as playing in the EPL or La Liga: Barcelona, Tottenham, Brighton, Liverpool, Sevilla, Valencia, Everton",classification
6725,WHQ,"('what', 'be')",What are the five smallest countries in Europe?,open_qa
6726,NULL,(),"Given this text about Major League Baseball, how many games do teams play in the regular season and how many games are played in the World Series.",closed_qa
6727,WHQ,"('what', 'go')",What goes into a credit score?,brainstorming
6728,WHQ,"('what', 'be')",What is the Role of the Fourth Official in Football?,general_qa
6729,NULL,(),Provide a few different ideas for games for 4 adults to play.,brainstorming
6730,WHQ,"('what', 'be')",What is an interception in American football? Write your response as if you are American explaining it to a coworker from another country.,general_qa
6731,NULL,(),5 most unusual ways to use screwdriver,brainstorming
6732,NULL,(),Can you list a few cities that Obama lived in from the below text?,summarization
6733,NULL,(),List the ingredients to make the best Greek salad,brainstorming
6734,NULL,(),"Given this short paragraph about Belize, how many people live there and what is notable about its population density?",closed_qa
6735,WHQ,"('how', 'do')",How did Washington become a state?,closed_qa
6736,WHQ,"('where', 'be')",Where was Mazzy Star formed?,closed_qa
6737,NULL,(),Give me an overview of how promotion and relegation works in the English Premier League,summarization
6738,WHQ,"('what', 'be')",What is the standard tuning for a 6 string guitar?,general_qa
6739,WHQ,"('how', 'should')",How soon should you make coffee after grinding the beans?,open_qa
6740,NULL,(),"The following are a mix of english and hindi words. separate them out logically:
your
mujhe
lamp
pyaar
tamanna
tomorrow
perhaps
kyunki
how
your
yaar
shade",classification
6741,NULL,(),What film released and set in 1985 features Doc Brown's Delorean time machine that takes Marty McFly back to 1955 where he inadvertently prevented his birth by intervening when his mother and father first met and fell in love?,open_qa
6742,WHQ,"('what', 'be')",What are some different festivities people do on Easter?,brainstorming
6743,WHQ,"('what', 'be')",What is the best way to tune a snare drum?,open_qa
6744,NULL,(),"Given the reference text about Rafael Nadal, tell me how many singles grand slam titles he has won, which grand slam tournament he has won the most, and the main strength of his tennis game.",closed_qa
6745,WHQ,"('what', 'be')",What is a short hiking trail in Tiburon?,open_qa
6746,NULL,(),Can you suggest 5 benefits of Genetical modification technologies like CRISPR ?,brainstorming
6747,WHQ,"('what', 'be')",What are some good rainy day activities?,brainstorming
6748,NULL,(),"here is a blurb about byte pair encoding for encryption, what benefits does this concept have besides compression?",closed_qa
6749,NULL,(),"Compared to a human, categorize the following as fast or slow animals: sloth, cheetah, eagle, tortoise, hippo, slug, horse.",classification
6750,WHQ,"('what', 'be')",What is the best way to evaluate the performance of my marketing spend?,general_qa
6751,WHQ,"('what', 'be')",What are the names of the three largest United States Virgin Islands?,open_qa
6752,NULL,(),List top 5 people with most medals in the olympics,brainstorming
6753,WHQ,"('who', 'win')",Who wins the point in tennis?,information_extraction
6754,NULL,(),"Which of the following are appropriate for a Black Tie dress code? A tuxedo, a blue suit, a loose sundress, a formal floor length gown?",classification
6755,NULL,(),From the passage note down the various celebrities who joined TikTok . List the results in comma separated format.,information_extraction
6756,NULL,(),"Tell me which sport of ice hockey or baseball these positions belong: outfielder, pitcher, left winger, forward, right fielder, goalie, catcher, third baseman, left defenseman",classification
6757,WHQ,"('what', 'be')",What’s the best way to cook scrambled eggs?,general_qa
6758,WHQ,"('what', 'be')",What is Schalke 04 famous for?,closed_qa
